User_ID,Registration_Date,Total_Dreams,Active_Days,Still_Active_Week2,Dreams_With_Emotions,DNA_Viewed,DNA_Recomputed,DNA_Personality,Evolution_Score,Health_Score,Dominant_Emotion,Art_Generated,Mindmaps_Created,Dream_Maps_Created,Totems_Collected,Totems_Deleted,Riddles_Attempted,Riddles_Solved,Riddle_Success_Rate,Avatar_Created,Avatar_Updated,Sky_Temple_Visited,Sky_Chapters_Completed,Forest_Visited,Forest_Chapters_Completed,Cloud_Kingdom_Visited,Cloud_Chapters_Completed,Total_Story_Chapters,Shared_Dreams,Likes_Given,Comments_Given,Messages_Sent,Messages_Received,Notifications_Clicked,Library_Texts_Viewed,Library_PDFs_Downloaded,Support_Locator_Used,Tutorial_Completed,Dreams_Exported_PDF,Individual_Dream_Downloads,Features_Used_Count,Avg_Session_Minutes,Total_Logins
U026,2025-11-30,0,1,No,0,No,0,-,0,3,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,2,9,1
U027,2025-12-01,2,1,No,1,No,0,-,3,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,1,1,0,0,0,0,No,No,0,0,0,8,1
U028,2025-12-01,2,1,No,0,No,0,-,4,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,0,0,0,0,0,0,0,No,No,0,0,0,10,1
U029,2025-12-02,5,3,No,3,Yes,0,Radiant Dreamer,38,37,Joy,1,0,0,2,0,2,1,50%,No,0,Yes,2,No,0,No,0,1,0,7,1,0,0,4,1,0,No,Yes,0,0,8,32,6
U030,2025-12-02,0,1,No,0,No,0,-,0,1,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,1,0,0,0,0,0,0,No,No,0,0,1,7,1
U031,2025-12-03,2,2,No,1,No,0,-,0,3,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,0,0,0,0,0,0,0,No,No,0,0,2,13,4
U032,2025-12-03,1,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,0,10,1
U033,2025-12-04,4,2,No,2,Yes,0,Vigilant Dreamer,30,22,Fear,0,0,0,1,0,1,0,0%,No,0,No,0,No,0,No,0,2,0,3,1,1,0,2,0,0,No,Yes,0,0,5,21,4
U034,2025-12-04,1,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,2,4,1
U035,2025-11-20,2,1,No,1,No,0,-,0,2,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,1,0,0,0,0,0,0,No,No,0,0,1,6,3
U036,2025-11-21,2,1,No,0,No,0,-,4,1,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,1,1,0,0,0,0,0,No,No,0,0,1,1,1
U037,2025-11-22,3,3,No,3,Yes,0,Reflective Dreamer,36,27,Sadness,1,0,0,2,0,2,1,50%,No,0,Yes,1,No,0,No,0,3,0,2,2,1,0,3,1,0,No,Yes,0,0,7,29,4
U038,2025-11-23,1,1,No,0,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,1,1,0,0,0,0,No,No,0,0,2,7,1
U039,2025-11-24,1,2,No,1,No,0,-,3,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,3,14,3
U040,2025-11-25,2,1,No,0,No,0,-,0,4,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,0,5,2
U041,2025-11-26,2,2,No,2,Yes,0,Seeker Dreamer,28,30,Surprise,0,0,0,1,0,1,0,0%,No,0,No,0,No,0,No,0,0,0,5,0,1,0,2,0,0,No,Yes,0,0,3,19,3
U042,2025-11-27,2,1,No,0,No,0,-,0,3,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,0,0,0,0,0,0,0,No,No,0,0,1,7,1
U043,2025-11-28,2,1,No,1,No,0,-,0,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,1,0,0,0,0,0,0,No,No,0,0,2,5,3
U044,2025-11-29,0,1,No,0,No,0,-,4,1,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,0,1,0,0,0,0,0,No,No,0,0,0,3,2
U045,2025-11-30,5,3,No,3,Yes,0,Shadow Explorer,42,31,Fear,1,0,0,2,0,2,1,50%,No,0,Yes,2,No,0,No,0,3,0,6,0,0,0,4,1,0,No,Yes,0,0,8,27,3
U046,2025-12-01,2,1,No,0,No,0,-,3,0,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,2,1,0,0,0,0,0,No,No,0,0,2,0,2
U047,2025-12-02,3,2,No,1,No,0,-,2,4,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,0,0,3,0,0,0,0,0,0,No,No,0,0,1,8,4
U048,2025-12-03,1,1,No,0,No,0,-,0,3,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,2,0,0,0,0,0,0,0,0,No,No,0,0,2,7,1
U049,2025-12-04,2,2,No,2,Yes,0,Radiant Dreamer,29,27,Joy,0,0,0,1,0,1,0,0%,No,0,No,0,No,0,No,0,0,0,5,2,0,0,2,0,0,No,Yes,0,0,4,24,2
U050,2025-12-04,1,1,No,0,No,0,-,0,1,-,0,0,0,0,0,0,0,0%,No,0,No,0,No,0,No,0,1,0,2,0,1,0,0,0,0,No,No,0,0,2,4,1
